MarketCap(Billions),CBilTrill,CompanyID,Year,MarketCap,Change
2008.0,1000,0,2024,2.008,0.2793
1570.0,1000,0,2023,1.57,0.8323
856.94,1,0,2022,856.94,-0.4932
1691.0,1000,0,2021,1.691,0.0348
1634.0,1000,0,2020,1.634,0.7758
920.22,1,0,2019,920.22,0.2478
737.46,1,0,2018,737.46,0.3086
563.53,1,0,2017,563.53,0.5816
356.31,1,0,2016,356.31,0.1193
318.34,1,0,2015,318.34,1.2059
144.31,1,0,2014,144.31,-0.2116
183.04,1,0,2013,183.04,0.6071
113.89,1,0,2012,113.89,0.4469
78.71,1,0,2011,78.71,-0.0303
81.18,1,0,2010,81.18,0.3592
59.72,1,0,2009,59.72,1.716
21.99,1,0,2008,21.99,-0.4294
38.53,1,0,2007,38.53,1.359
16.33,1,0,2006,16.33,-0.1671
19.61,1,0,2005,19.61,0.0809
18.14,1,0,2004,18.14,-0.145
21.22,1,0,2003,21.22,1.8965
7.32,1,0,2002,7.32,0.8145
4.03,1,0,2001,4.03,-0.2734
5.55,1,0,2000,5.55,-0.7885
26.27,1,0,1999,26.27,0.5406
17.05,1,0,1998,17.05,10.8134
1.44,1,0,1997,1.44,
3600.0,1000,1,2024,3.6,0.2025
2994.0,1000,1,2023,2.994,0.4487
2066.0,1000,1,2022,2.066,-0.2877
2901.0,1000,1,2021,2.901,0.2862
2255.0,1000,1,2020,2.255,0.752
1287.0,1000,1,2019,1.287,0.7259
746.07,1,1,2018,746.07,-0.1334
860.88,1,1,2017,860.88,0.4137
608.96,1,1,2016,608.96,0.0434
583.61,1,1,2015,583.61,-0.0925
643.12,1,1,2014,643.12,0.2843
500.74,1,1,2013,500.74,0.0021
499.69,1,1,2012,499.69,0.3236
377.51,1,1,2011,377.51,0.2707
297.09,1,1,2010,297.09,0.5556
190.98,1,1,2009,190.98,1.513
75.99,1,1,2008,75.99,-0.5633
174.03,1,1,2007,174.03,1.3847
72.98,1,1,2006,72.98,0.2005
60.79,1,1,2005,60.79,1.3334
26.05,1,1,2004,26.05,2.306
7.88,1,1,2003,7.88,0.5265
5.16,1,1,2002,5.16,-0.3312
7.71,1,1,2001,7.71,0.5027
5.13,1,1,2000,5.13,-0.6901
16.57,1,1,1999,16.57,1.9915
5.54,1,1,1998,5.54,2.2971
1.68,1,1,1997,1.68,-0.3538
545.44,1,2,2022,545.44,-0.417
935.64,1,2,2021,935.64,0.2026
778.03,1,2,2020,778.03,0.3291
585.37,1,2,2019,585.37,0.5646
374.13,1,2,2018,374.13,-0.2704
512.75,1,2,2017,512.75,0.5463
331.59,1,2,2016,331.59,0.118
296.6,1,2,2015,296.6,0.3685
216.73,1,2,2014,216.73,0.5571
139.19,1,2,2013,139.19,1.2044
63.14,1,2,2012,63.14,
2281.0,1000,3,2024,2.281,0.2986
1756.0,1000,3,2023,1.756,0.5343
1145.0,1000,3,2022,1.145,-0.4027
1917.0,1000,3,2021,1.917,0.6174
1185.0,1000,3,2020,1.185,0.2868
921.13,1,3,2019,921.13,0.2731
723.55,1,3,2018,723.55,-0.0081
729.45,1,3,2017,729.45,0.3532
539.06,1,3,2016,539.06,0.0206
528.16,1,3,2015,528.16,0.4692
359.5,1,3,2014,359.5,
282.86,1,4,2024,282.86,0.3274
213.09,1,4,2023,213.09,0.6239
131.22,1,4,2022,131.22,-0.5094
267.46,1,4,2021,267.46,0.1196
238.89,1,4,2020,238.89,0.6825
141.98,1,4,2019,141.98,0.215
116.85,1,4,2018,116.85,0.4068
83.06,1,4,2017,83.06,0.5635
53.12,1,4,2016,53.12,0.0854
48.94,1,4,2015,48.94,1.3717
20.63,1,4,2014,20.63,-0.0595
21.94,1,4,2013,21.94,3.2639
5.14,1,4,2012,5.14,0.4147
3.63,1,4,2011,3.63,-0.6077
9.27,1,4,2010,9.27,2.15
2.94,1,4,2009,2.94,0.6733
1.75,1,4,2008,1.75,0.0182
1.72,1,4,2007,1.72,-0.0261
1.77,1,4,2006,1.77,0.1975
1.48,1,4,2005,1.48,1.2789
0.65,1,4,2004,0.65,-0.4242
1.12,1,4,2003,1.12,3.9673
0.22,1,4,2002,0.22,
